Event	id_r	id_phi	id_eta	phi	phiB	quality	bx	pt
114	1	6	1	711	-9	6	0	87.6167
114	2	6	1	704	-6	6	0	87.6167
114	3	6	1	699	-36	2	0	87.6167
114	4	6	2	697	0	6	0	87.6167
115	3	4	-2	1029	-2	6	0	78.9348
115	4	4	-2	1026	0	6	0	78.9348
115	1	4	-1	1045	-7	6	0	78.9348
115	2	5	-1	-1107	12	2	0	78.9348
116	3	8	-2	582	-4	6	0	180.971
116	4	8	-2	581	1	6	0	180.971
116	1	8	-1	589	3	2	0	180.971
116	2	8	-1	586	3	2	0	180.971
117	2	10	-2	761	-16	5	0	36.1226
117	3	10	-2	742	-10	6	0	36.1226
118	4	7	1	1423	1	5	0	145.93
118	2	8	1	-716	-1	6	0	145.93
118	3	8	1	-720	0	6	0	145.93
119	1	3	0	-113	-37	3	0	91.7232
119	2	3	0	-119	-6	6	0	91.7232
119	3	3	0	-127	-10	3	0	91.7232
119	4	3	0	-128	-35	3	0	91.7232
120	1	5	1	1298	-36	2	0	120.443
120	4	5	2	1287	0	6	0	120.443
120	2	6	2	-852	-6	6	0	120.443
121	3	11	-2	716	12	2	0	140.094
121	4	12	-2	-1430	-2	5	0	140.094
121	1	11	-1	727	-6	6	0	140.094
122	1	7	0	988	-8	6	0	73.9139
122	4	7	1	968	-1	6	0	73.9139
123	1	10	-1	-374	-22	6	0	34.4869
123	2	10	-1	-399	-16	5	0	34.4869
123	3	10	-1	-445	-71	3	0	34.4869
123	4	10	-1	-424	-3	5	0	34.4869
124	1	12	0	-562	-20	4	0	36.4346
124	3	12	0	-603	-4	6	0	36.4346
124	4	12	0	-606	2	6	0	36.4346
125	4	7	-2	1181	2	6	0	144.558
125	1	7	-1	1189	-4	6	0	144.558
125	2	8	-1	-959	-4	5	0	144.558
126	3	8	-2	-142	-3	4	0	84.0969
126	4	8	-2	-144	-4	5	0	84.0969
126	1	8	-1	-127	-7	6	0	84.0969
126	2	8	-1	-136	-3	6	0	84.0969
127	1	9	1	-487	-30	6	0	22.1172
127	2	9	1	-525	-22	6	0	22.1172
128	1	6	0	1248	-7	6	0	162
128	4	6	0	1239	1	6	0	162
128	2	7	0	-899	-3	6	0	162
129	1	4	-1	-455	-12	6	0	73.987
129	2	4	-1	-468	-7	6	0	73.987
129	3	4	-1	-479	8	3	0	73.987
129	4	4	-1	-485	9	3	0	73.987
130	1	1	0	-129	-112	6	0	7.52484
130	2	1	0	-272	-86	6	0	7.52484
130	3	1	0	-386	-64	6	0	7.52484
130	4	1	0	-439	-22	6	0	7.52484
131	1	2	-2	-473	-14	6	0	60.2876
131	2	2	-2	-486	-8	6	0	60.2876
131	3	2	-2	-495	-1	5	0	60.2876
132	3	7	-2	-512	-174	2	0	39.209
132	4	7	-2	-453	19	6	0	39.209
132	1	7	-1	-464	-18	6	0	39.209
132	2	7	-1	-482	9	2	0	39.209
133	1	10	1	110	-44	6	0	17.2548
133	3	10	2	35	-12	6	0	17.2548
134	4	3	-2	173	-1	6	0	79.8613
134	1	3	-1	250	246	2	0	79.8613
135	1	3	0	512	-5	6	0	133.813
135	2	3	0	505	-4	5	0	133.813
135	3	3	0	496	-211	2	0	133.813
135	4	3	0	497	0	6	0	133.813
135	4	4	0	-1647	10	2	0	133.813
136	2	9	0	-825	-1	5	0	121.95
136	3	9	0	-828	2	2	0	121.95
137	1	6	0	-22	-15	6	0	55.8782
137	2	6	0	-39	-10	6	0	55.8782
137	4	6	0	-58	-4	6	0	55.8782
138	2	6	-1	727	-6	6	0	132.957
138	3	6	-1	722	-3	6	0	132.957
138	4	6	-1	720	-3	6	0	132.957
139	1	3	2	1111	-7	6	0	65.2646
139	3	3	2	1093	-10	2	0	65.2646
139	2	4	2	-1044	-6	6	0	65.2646
140	1	5	1	196	-95	6	0	8.63335
140	2	5	1	80	-69	6	0	8.63335
140	3	5	1	4	-31	5	0	8.63335
140	4	5	1	-23	-18	6	0	8.63335
141	4	4	0	1561	284	2	0	5.33739
141	1	5	0	-459	-172	6	0	5.33739
141	2	5	0	-686	-125	6	0	5.33739
141	3	5	0	-809	-25	2	0	5.33739
142	1	8	0	-144	-16	6	0	41.7761
142	2	8	0	-166	-17	6	0	41.7761
142	4	8	1	-186	-8	6	0	41.7761
143	2	12	-2	168	30	2	0	114.968
143	3	12	-2	162	-3	6	0	114.968
144	1	10	0	432	-6	6	0	170.077
144	4	10	1	420	-1	2	0	170.077
145	3	4	-2	440	-1	5	0	170.258
145	4	4	-2	300	70	4	0	170.258
145	1	4	-1	449	-5	5	0	170.258
145	2	4	-1	444	-4	6	0	170.258
146	1	10	0	478	-11	5	0	58.1784
146	2	10	0	466	-33	2	0	58.1784
146	4	10	1	447	-1	6	0	58.1784
147	1	1	1	-298	-31	6	0	23.6289
147	2	1	1	-331	-10	2	0	23.6289
147	3	1	2	-357	-12	6	0	23.6289
147	4	1	2	-366	-6	2	0	23.6289
148	3	4	1	148	-7	6	0	72.9365
148	4	4	1	143	-3	5	0	72.9365
149	3	7	-2	913	12	3	0	45.0269
149	4	7	-2	913	1	6	0	45.0269
149	1	7	-1	933	-12	5	0	45.0269
150	2	8	1	-694	-4	6	0	164.032
150	3	8	1	-697	-14	2	0	164.032
150	4	7	2	1446	0	5	0	164.032
151	1	4	0	-417	-2	6	0	167.473
151	2	4	0	-421	-4	6	0	167.473
152	4	4	-2	953	1	6	0	148.95
152	1	4	-1	962	-5	6	0	148.95
152	3	4	-1	955	-18	2	0	148.95
153	2	12	-1	-433	-2	6	0	182.405
153	3	12	-1	-437	0	6	0	182.405
153	4	12	-1	-438	-2	6	0	182.405
154	1	10	0	525	-6	6	0	102.311
154	2	10	0	517	-8	6	0	102.311
154	3	10	0	511	-38	3	0	102.311
155	2	12	-2	49	-1	6	0	107.747
155	3	12	-2	44	-5	2	0	107.747
156	1	12	-2	298	-6	6	0	129.818
156	3	12	-2	288	-5	6	0	129.818
157	1	7	1	-245	-4	6	0	157.875
157	2	7	1	-250	-3	6	0	157.875
157	4	7	2	-255	-3	5	0	157.875
158	1	10	-2	1233	-5	3	0	46.1749
159	1	10	-1	497	-3	6	0	151.815
159	2	10	-1	492	-2	6	0	151.815
159	3	10	-1	489	-10	2	0	151.815
160	1	3	0	-511	-5	6	0	152.44
160	2	3	0	-515	-7	6	0	152.44
160	3	3	0	-520	-3	6	0	152.44
160	4	3	0	-522	-3	6	0	152.44
161	1	3	0	1052	-8	6	0	102.605
161	3	3	0	1038	-1	6	0	102.605
161	2	4	0	-1101	-12	2	0	102.605
161	4	4	0	-1110	-4	5	0	102.605
162	1	5	0	-74	-30	6	0	22.7659
162	3	5	0	-140	-14	5	0	22.7659
163	2	2	1	-769	-2	5	0	193.571
163	3	2	2	-773	-5	3	0	193.571
163	4	2	2	-776	-29	3	0	193.571
164	1	2	1	917	-258	6	0	105.18
164	2	3	1	-964	-3	5	0	105.18
164	4	3	2	-971	-2	6	0	105.18
165	3	12	-2	130	-2	6	0	49.5407
165	4	12	-2	127	-1	6	0	49.5407
165	1	12	-1	160	-15	5	0	49.5407
166	1	2	1	-344	-74	6	0	10.111
166	2	2	1	-427	-45	6	0	10.111
166	3	2	1	-482	-36	5	0	10.111
166	4	2	2	-497	-6	4	0	10.111
167	1	6	-2	608	-22	6	0	27.8621
167	2	6	-2	585	-14	6	0	27.8621
167	3	6	-2	570	-6	5	0	27.8621
168	2	7	-1	-645	-7	6	0	68.0286
168	3	7	-1	-653	-6	6	0	68.0286
169	4	6	0	1448	-3	5	0	136.608
169	2	7	0	-686	-2	5	0	136.608
169	3	7	0	-692	-4	6	0	136.608
171	4	7	-2	1132	-15	2	0	129.862
171	1	7	-1	1143	-6	6	0	129.862
172	3	11	-2	1061	-6	6	0	60.5043
172	4	12	-2	-1088	0	6	0	60.5043
172	1	11	-1	1087	-12	6	0	60.5043
173	4	5	0	1438	-1	6	0	62.546
173	2	6	0	-689	-10	5	0	62.546
173	3	6	0	-699	-6	5	0	62.546
174	2	12	-2	37	-26	6	0	21.0675
174	3	12	-2	5	-17	6	0	21.0675
174	4	12	-2	-12	-10	6	0	21.0675
174	1	12	-1	83	-38	6	0	21.0675
175	1	7	-1	668	-12	6	0	59.3385
175	2	7	-1	637	-79	2	0	59.3385
175	3	7	-1	644	-4	6	0	59.3385
175	4	7	-1	641	-1	6	0	59.3385
176	3	11	-2	120	-1	6	0	123.247
176	4	11	-2	119	0	6	0	123.247
176	1	11	-1	130	-5	6	0	123.247
177	1	11	0	-552	-13	6	0	54.6383
177	2	11	0	-569	-8	5	0	54.6383
177	3	11	0	-580	-7	6	0	54.6383
177	4	11	0	-584	-28	2	0	54.6383
178	1	12	0	-542	-106	2	0	7.3919
178	2	12	0	-699	-73	6	0	7.3919
178	3	12	0	-776	-31	6	0	7.3919
178	4	12	0	-782	18	6	0	7.3919
179	3	3	-2	-447	-10	6	0	26.77
179	4	3	-2	-462	-55	5	0	26.77
179	1	3	-1	-395	-24	6	0	26.77
179	2	3	-1	-426	-18	6	0	26.77
180	1	6	0	1079	-3	6	0	187.265
180	4	6	1	1071	1	6	0	187.265
181	1	4	0	-437	-14	6	0	56.3216
181	2	4	0	-451	5	2	0	56.3216
181	3	4	0	-465	-4	6	0	56.3216
181	4	4	0	-470	-4	6	0	56.3216
182	4	1	-2	-1229	27	2	0	131.105
182	3	12	-2	916	-2	6	0	131.105
182	1	12	-1	925	-3	6	0	131.105
183	1	9	-1	783	-7	6	0	96.5453
183	2	9	-1	775	-6	6	0	96.5453
183	3	9	-1	770	-3	6	0	96.5453
183	4	10	-1	-1373	14	5	0	96.5453
184	4	11	-2	385	-3	6	0	135.054
184	1	11	-1	398	-4	6	0	135.054
184	2	11	-1	392	-4	6	0	135.054
184	3	11	-1	388	-3	6	0	135.054
185	2	1	-2	-771	-30	3	0	11.8853
185	3	1	-2	-810	-16	5	0	11.8853
185	4	1	-2	-815	3	6	0	11.8853
186	1	7	1	116	-42	6	0	183.442
186	2	7	2	104	-2	6	0	183.442
186	3	7	2	102	2	6	0	183.442
186	4	7	2	99	-1	6	0	183.442
187	1	11	-1	312	-5	6	0	106.118
187	2	11	-1	304	-1	5	0	106.118
187	3	11	-1	299	-3	6	0	106.118
187	4	11	-1	297	14	3	0	106.118
188	1	12	1	22	-4	6	0	168.259
188	2	12	1	17	-2	6	0	168.259
188	3	12	2	12	-1	3	0	168.259
189	1	11	1	736	-67	3	0	14.3307
189	2	11	1	685	-37	4	0	14.3307
189	3	11	1	638	-25	6	0	14.3307
190	2	6	2	197	-4	6	0	199.597
190	3	6	2	193	-4	5	0	199.597
191	1	5	0	334	-4	5	0	165.177
191	2	5	0	330	-2	6	0	165.177
191	3	5	0	326	-3	6	0	165.177
192	4	8	-2	1104	6	6	0	10.1495
192	1	8	-1	1243	-73	6	0	10.1495
193	1	2	1	-73	-42	3	0	45.7126
193	2	2	1	-87	-12	6	0	45.7126
193	3	2	1	-99	-8	6	0	45.7126
193	4	2	1	-104	-7	5	0	45.7126
194	1	2	1	-443	-10	6	0	83.422
194	2	2	1	-454	-6	6	0	83.422
194	4	2	2	-467	-1	6	0	83.422
195	3	12	1	-720	-6	6	0	54.0395
195	4	12	1	-727	-11	2	0	54.0395
196	1	12	1	228	-8	6	0	98.5277
196	2	12	1	219	-5	6	0	98.5277
196	3	12	1	213	-1	6	0	98.5277
196	4	12	1	209	-4	5	0	98.5277
197	3	9	-2	708	-12	3	0	156.726
197	1	9	-1	717	-13	2	0	156.726
198	1	4	1	790	-22	2	0	196.507
198	3	4	2	766	-146	2	0	196.507
198	4	4	2	781	4	2	0	196.507
199	4	6	0	1459	-33	2	0	108.283
199	2	7	0	-676	-6	6	0	108.283
199	3	7	0	-681	-2	5	0	108.283
200	2	1	-1	-909	138	2	0	103.14
200	4	1	-1	-932	1	6	0	103.14
200	1	12	-1	1223	-5	6	0	103.14
201	4	6	1	1371	-6	6	0	23.4507
201	3	7	1	-762	-31	3	0	23.4507
202	1	3	0	141	-6	6	0	160.092
202	2	3	0	135	-5	5	0	160.092
202	3	3	0	132	-2	5	0	160.092
203	2	11	1	-769	-8	6	0	97.4473
203	3	11	1	-777	-4	2	0	97.4473
203	4	10	2	1362	-2	5	0	97.4473
204	1	1	1	-310	-4	6	0	144.367
204	3	1	2	-321	-2	4	0	144.367
204	4	1	2	-323	-2	5	0	144.367
205	1	12	1	-475	-75	6	0	10.4334
