Event,n_Primitive,1dtPrimitive.id_r,2dtPrimitive.id_r,3dtPrimitive.id_r,4dtPrimitive.id_r,1dtPrimitive.id_eta,2dtPrimitive.id_eta,3dtPrimitive.id_eta,4dtPrimitive.id_eta,1dtPrimitive.id_phi,2dtPrimitive.id_phi,3dtPrimitive.id_phi,4dtPrimitive.id_phi,1dtPrimitive.phiGlb,2dtPrimitive.phiGlb,3dtPrimitive.phiGlb,4dtPrimitive.phiGlb,1dtPrimitive.phiB,2dtPrimitive.phiB,3dtPrimitive.phiB,4dtPrimitive.phiB,delta_phi12,delta_phi13,delta_phi14,delta_phi23,delta_phi24,delta_phi34,genParticle.pt
412.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,10.0,10.0,10.0,0.0,4.69163703918457,4.68895149230957,4.68968391418457,0.0,-4.0,37.0,-3.0,0.0,0.002685546875,0.001953125,4.69163703918457,0.000732421875,4.68895149230957,4.68968391418457,185.4716644287109
413.0,4.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-2.0,-2.0,11.0,11.0,11.0,11.0,5.130274772644043,5.126856803894043,5.124415397644043,5.122706413269043,-14.0,-10.0,32.0,-4.0,0.00341796875,0.005859375,0.007568359375,0.00244140625,0.004150390625,0.001708984375,64.53932189941406
414.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,2.0128521919250493,2.0113873481750493,2.0099225044250493,2.0091900825500493,-35.0,-3.0,-2.0,-2.0,0.00146484375,0.0029296875,0.003662109375,0.00146484375,0.002197265625,0.000732421875,132.25856018066406
415.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.107421875,0.10595703125,0.10498046875,0.1044921875,-7.0,-3.0,-2.0,-2.0,0.00146484375,0.00244140625,0.0029296875,0.0009765625,0.00146484375,0.00048828125,110.52940368652344
416.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,0.7169581651687622,0.7047511339187622,0.6964503526687622,0.6922171115875244,-43.0,-36.0,-12.0,-4.0,0.01220703125,0.0205078125,0.024741053581237793,0.00830078125,0.012534022331237793,0.004233241081237793,16.93370246887207
417.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,7.0,7.0,7.0,0.0,3.161856412887573,3.156729459762573,3.155264616012573,0.0,-35.0,-5.0,-32.0,0.0,0.005126953125,0.006591796875,3.161856412887573,0.00146484375,3.156729459762573,3.155264616012573,69.38121032714844
418.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,0.0,3.307364225387573,3.306143522262573,3.305411100387573,0.0,-2.0,-2.0,-32.0,0.0,0.001220703125,0.001953125,3.307364225387573,0.000732421875,3.306143522262573,3.305411100387573,174.9169464111328
419.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,10.0,10.0,10.0,0.0,4.92503547668457,4.92308235168457,4.92259407043457,0.0,-4.0,-3.0,0.0,0.0,0.001953125,0.00244140625,4.92503547668457,0.00048828125,4.92308235168457,4.92259407043457,171.3636016845703
420.0,3.0,1.0,1.0,1.0,0.0,-1.0,-2.0,-2.0,0.0,11.0,11.0,11.0,0.0,5.285059928894043,5.283839225769043,5.283350944519043,0.0,-3.0,-2.0,-4.0,0.0,0.001220703125,0.001708984375,5.285059928894043,0.00048828125,5.283839225769043,5.283350944519043,198.0937805175781
421.0,4.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,2.0,2.0,2.0,2.0,0.4137355089187622,0.4086085557937622,0.4047023057937622,0.4029933214187622,-20.0,-10.0,-11.0,-7.0,0.005126953125,0.009033203125,0.0107421875,0.00390625,0.005615234375,0.001708984375,40.12738800048828
422.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,1.6406205892562866,1.6393998861312866,1.6381791830062866,1.6374467611312866,-4.0,-1.0,0.0,-3.0,0.001220703125,0.00244140625,0.003173828125,0.001220703125,0.001953125,0.000732421875,147.47604370117188
423.0,3.0,1.0,1.0,1.0,0.0,-1.0,-2.0,-2.0,0.0,12.0,12.0,12.0,0.0,5.6609535217285165,5.6609535217285165,5.6585121154785165,0.0,-6.0,-57.0,-3.0,0.0,0.0,0.00244140625,5.6609535217285165,0.00244140625,5.6609535217285165,5.6585121154785165,182.3504638671875
424.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,2.638745784759521,2.636548519134521,2.634595394134521,2.633862972259521,-8.0,-7.0,-3.0,-3.0,0.002197265625,0.004150390625,0.0048828125,0.001953125,0.002685546875,0.000732421875,89.02262878417969
425.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,12.0,0.0,5.6419105529785165,5.6404457092285165,5.6392250061035165,0.0,-5.0,-4.0,-1.0,0.0,0.00146484375,0.002685546875,5.6419105529785165,0.001220703125,5.6404457092285165,5.6392250061035165,134.50804138183594
