Event,dtPrimitive.id_r,dtPrimitive.id_eta,dtPrimitive.id_phi,dtPrimitive.bxTrackFinder(),dtPrimitive.phiGlb(),dtPrimitive.bx
144,2,-2,12,0,5.800601959228516,0
144,3,-2,12,0,5.799137115478516,0
145,1,0,10,0,4.81785774230957,0
145,4,1,10,0,4.81492805480957,0
146,3,-2,4,-5,1.6757768392562866,-5
146,3,-2,4,0,1.6782182455062866,0
146,4,-2,4,-1,1.6779741048812866,-1
146,4,-2,4,0,1.6440385580062866,0
146,4,-2,4,-2,1.6782182455062866,-1
146,1,-1,4,0,1.6804155111312866,0
146,2,-1,4,0,1.6791948080062866,0
147,1,0,10,0,4.82908821105957,0
147,2,0,10,0,4.82615852355957,0
147,4,1,10,0,4.82151985168457,0
148,1,1,1,0,-0.07275390625,0
148,2,1,1,0,-0.080810546875,0
148,3,2,1,0,-0.087158203125,0
148,4,2,1,0,-0.08935546875,0
149,3,1,4,0,1.6069291830062866,0
149,4,1,4,0,1.6057084798812866,0
150,3,-2,7,0,3.3644931316375732,0
150,4,-2,7,0,3.3644931316375732,0
150,1,-1,7,0,3.3693759441375732,0
151,2,1,8,0,3.495757818222046,0
151,3,1,8,0,3.495025396347046,0
151,4,2,7,0,3.4946200847625732,0
152,1,0,4,0,1.4689897298812866,0
152,2,0,4,0,1.4680131673812866,0
153,4,-2,4,0,1.8034623861312866,0
153,1,-1,4,0,1.8056596517562866,0
153,3,-1,4,0,1.8039506673812866,0
154,1,-1,12,-1,5.655338287353516,-1
154,2,-1,12,0,5.653873443603516,0
154,3,-1,12,0,5.652896881103516,0
154,4,-1,12,0,5.652652740478516,0
155,1,0,10,0,4.84056282043457,0
155,2,0,10,0,4.83860969543457,0
155,3,0,10,0,4.83714485168457,0
156,2,-2,12,0,5.771549224853516,0
156,3,-2,12,0,5.770328521728516,0
157,1,-2,12,0,5.832340240478516,0
157,2,-2,12,-1,5.830631256103516,-1
157,3,-2,12,0,5.829898834228516,0
158,1,1,7,0,3.0817782878875732,0
158,2,1,7,0,3.0805575847625732,0
158,4,2,7,0,3.0793368816375732,0
159,1,-2,10,0,5.01341438293457,0
159,2,-2,11,-2,5.007227897644043,-2
159,2,-2,11,-1,5.006983757019043,-1
159,2,-2,11,-3,5.006983757019043,-2
160,1,-1,10,0,4.83372688293457,0
160,2,-1,10,0,4.83250617980957,0
160,3,-1,10,0,4.83177375793457,0
161,1,0,3,0,0.9224417209625244,0
161,2,0,3,0,0.9214651584625244,0
161,3,0,3,0,0.9202444553375244,0
161,4,0,3,0,0.9197561740875244,0
162,1,0,3,0,1.3040335178375244,0
162,3,0,3,0,1.3006155490875244,0
162,2,0,4,0,1.3019975423812866,0
162,4,0,4,0,1.2998002767562866,0
163,1,0,5,0,2.076328754425049,0
163,2,0,5,-3,2.064121723175049,-3
163,2,0,5,-2,2.064121723175049,-2
163,3,0,5,0,2.060215473175049,0
164,2,1,2,0,0.3358546495437622,0
164,3,2,2,0,0.3348780870437622,0
164,4,2,2,-1,0.3341456651687622,-1
164,4,2,2,0,0.3341456651687622,0
165,1,1,2,-1,0.7347804307937622,-1
165,1,1,2,0,0.7474757432937622,0
165,1,1,2,-2,0.8136378526687622,-1
165,2,1,3,0,0.8118460178375244,0
165,4,2,3,0,0.8101370334625244,0
166,3,-2,12,0,5.791324615478516,0
166,4,-2,12,0,5.790592193603516,0
166,1,-1,12,0,5.798648834228516,0
167,1,1,2,0,0.4396144151687622,0
167,2,1,2,0,0.4193507432937622,0
167,3,1,2,0,0.4059230089187622,0
167,4,2,2,0,0.4022608995437622,0
168,1,-2,6,0,2.7664313316345215,0
168,2,-2,6,0,2.7608160972595215,0
168,3,-2,6,0,2.7571539878845215,0
169,4,-1,6,-1,2.9812750816345215,-1
169,2,-1,7,0,2.9841220378875732,0
169,3,-1,7,0,2.9821689128875732,0
170,4,0,6,0,2.9715094566345215,0
170,2,0,7,0,2.9741122722625732,0
170,3,0,7,0,2.9726474285125732,0
172,4,-2,7,0,3.4179599285125732,0
172,1,-1,7,0,3.4206454753875732,0
173,3,-2,11,0,5.495020866394043,0
173,4,-2,12,0,5.493961334228516,0
173,1,-1,11,0,5.501368522644043,0
174,4,0,5,0,2.445469379425049,0
174,2,0,6,0,2.4497809410095215,0
174,3,0,6,0,2.4473395347595215,0
175,2,-2,12,0,5.768619537353516,0
175,3,-2,12,0,5.760807037353516,0
