Event,dtPrimitive.id_r,dtPrimitive.id_eta,dtPrimitive.id_phi,dtPrimitive.phiGlb(),dtPrimitive.phiB,dtPrimitive.quality,genParticle.pt
109,1,-1,1,0.185302734375,-10.0,6,72.91478729248047
109,2,-1,1,0.182373046875,-9.0,6,72.91478729248047
109,3,-1,1,0.18017578125,-16.0,2,72.91478729248047
110,1,-2,8,3.933746099472046,-11.0,2,190.6253662109375
110,2,-2,9,3.9331750869750977,-4.0,6,190.6253662109375
111,1,0,2,0.7089015245437622,-10.0,6,61.29479217529297
111,2,0,2,0.7054835557937622,-9.0,6,61.29479217529297
111,3,0,2,0.7030421495437622,-15.0,2,61.29479217529297
111,4,0,3,0.7022268772125244,-2.0,6,61.29479217529297
112,1,0,9,4.058907508850098,-5.0,5,173.12738037109375
112,2,0,9,4.057930946350098,16.0,3,173.12738037109375
112,3,0,9,4.056954383850098,-4.0,6,173.12738037109375
113,1,-1,8,3.661529302597046,1.0,3,46.96358871459961
113,2,-1,8,3.657867193222046,-11.0,6,46.96358871459961
113,3,-1,8,3.654693365097046,-9.0,6,46.96358871459961
113,4,-1,8,3.653228521347046,6.0,2,46.96358871459961
114,3,-2,8,3.462798833847046,2.0,2,131.58413696289062
115,1,1,6,2.7915778160095215,-9.0,6,87.61671447753906
115,2,1,6,2.7898688316345215,-6.0,6,87.61671447753906
115,3,1,6,2.7886481285095215,-36.0,2,87.61671447753906
115,4,2,6,2.7881598472595215,0.0,6,87.61671447753906
116,3,-2,4,1.8220170736312866,-2.0,6,78.93478393554688
116,4,-2,4,1.8212846517562866,0.0,6,78.93478393554688
116,1,-1,4,1.8259233236312866,-7.0,6,78.93478393554688
116,2,-1,5,1.8241314888000488,12.0,2,78.93478393554688
117,3,-2,8,3.807281255722046,-4.0,6,180.9705810546875
117,4,-2,8,3.807037115097046,1.0,6,180.9705810546875
117,1,-1,8,3.808990240097046,3.0,2,180.9705810546875
117,2,-1,8,3.808257818222046,3.0,2,180.9705810546875
118,2,-2,10,4.89818000793457,-16.0,5,36.12264633178711
118,3,-2,10,4.89354133605957,-10.0,6,36.12264633178711
119,4,1,7,3.4890048503875732,1.0,5,145.93019104003906
119,2,1,8,3.490386724472046,-1.0,6,145.93019104003906
119,3,1,8,3.489410161972046,0.0,6,145.93019104003906
120,1,0,3,1.0196096897125244,-37.0,3,91.72318267822266
120,2,0,3,1.0181448459625244,-6.0,6,91.72318267822266
120,3,0,3,1.0161917209625244,-10.0,3,91.72318267822266
120,4,0,3,1.0159475803375244,-35.0,3,91.72318267822266
